"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Gaylord Perry","- - -","510","1220","6","48","47","0","1.8%","30.2%",".033",".192",".131",".153",".164",".146","-13","0.1","-154.7","91.1","-2.7","1010210"
"Ken Wood","- - -","342","1109","34","110","143","1","9.2%","12.7%",".169",".230",".224",".298",".393",".317","77","-2.4","-36.1","-28.6","-2.7","1014227"
"John Humphries","- - -","98","384","0","34","6","","4.9%","22.7%",".008",".138",".143",".188",".151",".166","40","0.0","-35.9","-8.1","-2.7","1006185"
"Rod Kanehl","Mets","340","843","6","103","47","17","4.2%","9.5%",".059",".262",".241",".277",".300",".261","58","-0.4","-41.9","-12.7","-2.7","1006688"
"Billy Barnie","- - -","83","326","0","32","22","2","1.5%","6.1%",".028",".180",".171",".184",".199",".178","46","-0.7","-30.7","-14.8","-2.7","1000581"
"Homer Peel","- - -","186","461","2","48","44","1","6.5%","5.2%",".060",".249",".238",".294",".298",".280","55","0.1","-29.5","-14.9","-2.7","1010124"
"Glenn Burke","- - -","225","556","2","50","38","35","4.0%","12.6%",".054",".270",".237",".270",".291",".254","56","0.9","-27.8","-16.7","-2.7","1001680"
"George Barclay","- - -","401","1643","4","167","140","61","3.8%","",".050","",".248",".286",".298",".282","79","2.1","-38.4","-43.7","-2.7","1000535"
"George Blaeholder","- - -","336","711","3","43","41","2","6.5%","29.3%",".048",".207",".142",".201",".190",".190","-3","0.3","-101.4","46.2","-2.8","1001025"
"Mike Champion","Padres","193","647","2","42","49","3","5.1%","15.6%",".064",".273",".229",".272",".293",".256","58","-0.3","-33.3","-15.0","-2.8","1002128"
"Michael Martinez","- - -","295","621","6","67","42","4","6.0%","21.1%",".067",".241",".194",".243",".261",".225","34","1.8","-46.1","0.3","-2.8","7358"
"Tom Upton","- - -","181","605","2","60","42","8","10.7%","11.1%",".063",".254",".225",".313",".288",".289","53","0.3","-37.1","-11.7","-2.8","1013295"
"Mark Lewis","- - -","902","3051","48","320","306","29","6.4%","16.7%",".116",".304",".263",".312",".379",".307","82","-2.0","-74.0","-55.6","-2.8","1007585"
